title:Example Wishlist
description:Just an example of the YAML wishlist format

// Duty Bound (Season 28)
//notes:2bithacker (PvE): "This is a block of descriptive text about this particular roll, it's freeform, but will be collapsed into a single line in the final output." Recommended MW: Range, Reload.|tags:pve
dimwishlist:item=260532765&perks=839105230,1431678320,3828510309,1226351311
dimwishlist:item=260532765&perks=839105230,1431678320,3828510309,3400784728
dimwishlist:item=260532765&perks=839105230,1431678320,2387244414,1226351311
dimwishlist:item=260532765&perks=839105230,1431678320,2387244414,3400784728
dimwishlist:item=260532765&perks=839105230,3177308360,3828510309,1226351311
dimwishlist:item=260532765&perks=839105230,3177308360,3828510309,3400784728
dimwishlist:item=260532765&perks=839105230,3177308360,2387244414,1226351311
dimwishlist:item=260532765&perks=839105230,3177308360,2387244414,3400784728
dimwishlist:item=260532765&perks=202670084,1431678320,3828510309,1226351311
dimwishlist:item=260532765&perks=202670084,1431678320,3828510309,3400784728
dimwishlist:item=260532765&perks=202670084,1431678320,2387244414,1226351311
dimwishlist:item=260532765&perks=202670084,1431678320,2387244414,3400784728
dimwishlist:item=260532765&perks=202670084,3177308360,3828510309,1226351311
dimwishlist:item=260532765&perks=202670084,3177308360,3828510309,3400784728
dimwishlist:item=260532765&perks=202670084,3177308360,2387244414,1226351311
dimwishlist:item=260532765&perks=202670084,3177308360,2387244414,3400784728

// Duty Bound (Season 28)
//notes:2bithacker (PvE): "This is a block of descriptive text about this particular roll, it's freeform, but will be collapsed into a single line in the final output." Recommended MW: Range, Reload.|tags:pve
dimwishlist:item=89693562&perks=839105230,1431678320,3828510309,1226351311
dimwishlist:item=89693562&perks=839105230,1431678320,3828510309,3400784728
dimwishlist:item=89693562&perks=839105230,1431678320,2387244414,1226351311
dimwishlist:item=89693562&perks=839105230,1431678320,2387244414,3400784728
dimwishlist:item=89693562&perks=839105230,3177308360,3828510309,1226351311
dimwishlist:item=89693562&perks=839105230,3177308360,3828510309,3400784728
dimwishlist:item=89693562&perks=839105230,3177308360,2387244414,1226351311
dimwishlist:item=89693562&perks=839105230,3177308360,2387244414,3400784728
dimwishlist:item=89693562&perks=202670084,1431678320,3828510309,1226351311
dimwishlist:item=89693562&perks=202670084,1431678320,3828510309,3400784728
dimwishlist:item=89693562&perks=202670084,1431678320,2387244414,1226351311
dimwishlist:item=89693562&perks=202670084,1431678320,2387244414,3400784728
dimwishlist:item=89693562&perks=202670084,3177308360,3828510309,1226351311
dimwishlist:item=89693562&perks=202670084,3177308360,3828510309,3400784728
dimwishlist:item=89693562&perks=202670084,3177308360,2387244414,1226351311
dimwishlist:item=89693562&perks=202670084,3177308360,2387244414,3400784728

// Duty Bound (Season 28)
//notes:2bithacker (PvP): "And this is the text for this roll." Recommended MW: Range, Reload.|tags:pvp
dimwishlist:item=260532765&perks=4090651448,3230963543,3828510309,95528736
dimwishlist:item=260532765&perks=4090651448,3230963543,3828510309,3400784728
dimwishlist:item=260532765&perks=4090651448,3230963543,1517798362,95528736
dimwishlist:item=260532765&perks=4090651448,3230963543,1517798362,3400784728
dimwishlist:item=260532765&perks=4090651448,3177308360,3828510309,95528736
dimwishlist:item=260532765&perks=4090651448,3177308360,3828510309,3400784728
dimwishlist:item=260532765&perks=4090651448,3177308360,1517798362,95528736
dimwishlist:item=260532765&perks=4090651448,3177308360,1517798362,3400784728
dimwishlist:item=260532765&perks=202670084,3230963543,3828510309,95528736
dimwishlist:item=260532765&perks=202670084,3230963543,3828510309,3400784728
dimwishlist:item=260532765&perks=202670084,3230963543,1517798362,95528736
dimwishlist:item=260532765&perks=202670084,3230963543,1517798362,3400784728
dimwishlist:item=260532765&perks=202670084,3177308360,3828510309,95528736
dimwishlist:item=260532765&perks=202670084,3177308360,1517798362,95528736
dimwishlist:item=260532765&perks=202670084,3177308360,1517798362,3400784728

// Duty Bound (Season 28)
//notes:2bithacker (PvP): "And this is the text for this roll." Recommended MW: Range, Reload.|tags:pvp
dimwishlist:item=89693562&perks=4090651448,3230963543,3828510309,95528736
dimwishlist:item=89693562&perks=4090651448,3230963543,3828510309,3400784728
dimwishlist:item=89693562&perks=4090651448,3230963543,1517798362,95528736
dimwishlist:item=89693562&perks=4090651448,3230963543,1517798362,3400784728
dimwishlist:item=89693562&perks=4090651448,3177308360,3828510309,95528736
dimwishlist:item=89693562&perks=4090651448,3177308360,3828510309,3400784728
dimwishlist:item=89693562&perks=4090651448,3177308360,1517798362,95528736
dimwishlist:item=89693562&perks=4090651448,3177308360,1517798362,3400784728
dimwishlist:item=89693562&perks=202670084,3230963543,3828510309,95528736
dimwishlist:item=89693562&perks=202670084,3230963543,3828510309,3400784728
dimwishlist:item=89693562&perks=202670084,3230963543,1517798362,95528736
dimwishlist:item=89693562&perks=202670084,3230963543,1517798362,3400784728
dimwishlist:item=89693562&perks=202670084,3177308360,3828510309,95528736
dimwishlist:item=89693562&perks=202670084,3177308360,1517798362,95528736
dimwishlist:item=89693562&perks=202670084,3177308360,1517798362,3400784728

